role,file,exists,suffix,size,sha256,expected_memory_output,expected_v1_state,contract_rule,verdict_matrice,parse_ok,main_guard,imports,classes,functions,pure_function_candidates,top_level_effects,write_hits,real_hits,secret_hits,process_hits,legacy_state_hits,v1_hits
POLICY_ENGINE,policy_engine.py,false,.py,,,policydecision dict action/sizing/raison,policystatev1.json,"souveraineté décisionnelle bornée, sans write legacy",ABSENT,true,false,,,,,,,,,,,
POLICY_ENGINE,productionpolicyengine.py,false,.py,,,policydecision dict action/sizing/raison,policystatev1.json,"souveraineté décisionnelle bornée, sans write legacy",ABSENT,true,false,,,,,,,,,,,
ALLOCATION,productiondecisionallocationmanager.py,false,.py,,,allocationstate dict démo finale,allocationstatev1.json,allocation pure ou wrapper V1 sans capital hardcodé ni chemin legacy,ABSENT,true,false,,,,,,,,,,,
ALLOCATION,productionallocationmoneymanager.py,false,.py,,,allocationstate dict démo finale,allocationstatev1.json,allocation pure ou wrapper V1 sans capital hardcodé ni chemin legacy,ABSENT,true,false,,,,,,,,,,,
ALLOCATION,productionallocationmetacontroller.py,false,.py,,,allocationstate dict démo finale,allocationstatev1.json,allocation pure ou wrapper V1 sans capital hardcodé ni chemin legacy,ABSENT,true,false,,,,,,,,,,,
ALLOCATION,money_manager_perplexity_97L.py,true,.py,3144,cf700937a3161e5d9ebde2261197fe646e3b8f1600bdb96d00a49cd21b6d0da1,allocationstate dict démo finale,allocationstatev1.json,allocation pure ou wrapper V1 sans capital hardcodé ni chemin legacy,WRAPPER_NEUF_REQUIS_WRITE_LEGACY,true,true,json;pathlib;datetime;sys;modules.double_tempo,,load_aplomb_state;load_m3_state;load_m8_state;get_capital_total;run_money_manager,load_aplomb_state,"'\nMoney Manager - Agrégateur final de Séragone\nIntègre M3, M8 et Double Tempo\n' || sys.path.append(str(Path(__file__).parent))","L91:with open(STATE_FILE, 'w') as f: || L92:json.dump(state, f, indent=2)",,,,"L14:STATE_FILE = BASE_DIR / ""money_manager_state.json"" || L17:f = BASE_DIR / ""aplomb_state.json"" || L24:f = BASE_DIR / ""moteurs"" / ""m3_temperance_state.json"" || L31:f = BASE_DIR / ""moteurs"" / ""m8_tresorerie_state.json""",
ALLOCATION,money_manager.py,true,.py,21106,f9b1580c94bbdf3245c1ac4629d2db85bb71485f175f1cd6733a409aeab0aa75,allocationstate dict démo finale,allocationstatev1.json,allocation pure ou wrapper V1 sans capital hardcodé ni chemin legacy,EXCLURE_RISQUE_REEL_DIRECT,true,true,__future__;doubletempo;json;time;logging;dataclasses;datetime;pathlib;typing,TireurPosition;GardeFoOuActif,read_json;get_aplomb_permission;get_tireur_direction;get_etincelle_state;get_brisance_active;get_v9_bear;calculer_positions_tireurs;sommer_avec_cap_progressif;compenser_books;appliquer_gardes_fous;load_clones_state;load_m4_state;load_m5_state;main,get_aplomb_permission;calculer_positions_tireurs,"""\nMONEY MANAGER SÉRAGONE\n======================\n\nApplique l'allocation capital synthétisée à partir des 4 réponses IA.\nLit les états des tireurs + V9 + Aplomb + brisance + éti || LOG_PATH.parent.mkdir(parents=True, exist_ok=True) || log.setLevel(logging.INFO) || if_non_main","L29:LOG_PATH.parent.mkdir(parents=True, exist_ok=True) || L659:with open(STATE_OUT, ""w"", encoding=""utf-8"") as f: || L660:json.dump(state, f, indent=2, default=str, ensure_ascii=False)","L398:""Exchange"", ""CASH — Binance instable ou retraits suspendus"",","L398:""Exchange"", ""CASH — Binance instable ou retraits suspendus"",",,"L27:STATE_OUT = BASE / ""money_manager_state.json"" || L88:""Aplomb"": BASE / ""aplombdailystate.json"", || L89:""Presence"": BASE / ""presence1hstate.json"", || L90:""Tenue"": BASE / ""tenue30mstate.json"", || L91:""Vigie"": BASE / ""vigie15mstate.json"", || L92:""Agilite"": BASE / ""tireurs_agilite_5m_state.json"", || L93:""Precision"": BASE / ""tireurs_minute_state.json"", || L94:""Fulgurance"": BASE / ""fulgurance_state.json"", || L95:""Etincelle"": BASE / ""etincellestate.json"", || L99:BRISANCE_STATE = BASE / ""brisance_state.json"" || L100:ETINCELLE_STATE = BASE / ""etincellestate.json"" || L128:BASE / ""aplombdailystate.json"", || L129:BASE / ""aplombdailystate.json"", || L130:BASE / ""aplombstate.json"", || L393:ex = json.load(open(BASE / ""sentinelle_exchange_state.json"", ""r"", encoding=""utf-8"")) || L439:f = BASE / ""clones_v6_state.json"" || L450:f = BASE / ""states"" / ""ours_v2_state.json"" || L465:f = BASE / ""states"" / ""grappillage_state.json"" || L497:chef = json.load(open(BASE / ""state.json"", ""r"", encoding=""utf-8"")) || L523:_auto = read_json(BASE / ""tireurs_state.json"")",
DECISION_TO_ORDER,demo/generator/decision_to_order.py,true,.py,7218,d0edc0ae05dc898a763a67381d8dbea1fa4aba98d876988e20143ee938efdf64,hors branchement direct tant que CLOSE/ordre non décrété,aucun,exclu du branchement direct; risque ordre/exchange à isoler,EXCLURE_RISQUE_REEL_DIRECT,true,true,__future__;hashlib;json;sys;datetime;pathlib,,utc_iso;utc_compact;log_event;read_json;write_json_atomic;decision_hash;main,decision_hash,"""\nSÉRAGONE — decision_to_order.py\n================================\nA7 V0 — Générateur d'ordres demo depuis MM position_nette + state.json.prix.\n\nSpec       : DECRET_A7 §4 (sha","L72:LOGS_DIR.mkdir(parents=True, exist_ok=True) || L75:f.write(json.dumps(rec, ensure_ascii=False) + ""\n"") || L84:json.dump(payload, f, ensure_ascii=False, indent=2) || L128:ORDERS_DIR.mkdir(parents=True, exist_ok=True) || L129:STATES_DIR.mkdir(parents=True, exist_ok=True)","L148:order = { || L163:write_json_atomic(order_path, order)",L37:- aucun secret lu/écrit,L12:Phase      : 1 (PHASE 2 cron différée par §6),"L6:A7 V0 — Générateur d'ordres demo depuis MM position_nette + state.json.prix. || L15:1. Vérifie state.json + money_manager_state.json existent || L17:3. Lit state.json.prix (LIVE, clé canonique FR) || L20:6. Compare avec hash précédent dans demo/states/decision_to_order_state.json || L33:- lecture seule sur state.json + money_manager_state.json || L53:STATE_PATH    = ROOT / ""state.json"" || L54:MM_STATE_PATH = ROOT / ""money_manager_state.json"" || L58:HASH_STATE    = STATES_DIR / ""decision_to_order_state.json""",
DECISION_TO_ORDER,demo/orders/test_order_demo.json,true,.json,360,94de754ee99aa4c234a14650708c03be21ea21b52254b7e2c9a189abde969776,hors branchement direct tant que CLOSE/ordre non décrété,aucun,exclu du branchement direct; risque ordre/exchange à isoler,LECTURE_STATE_OU_FIXTURE_SEULEMENT,false,false,,,,,,,,,,,
DECISION_TO_ORDER,demo/orders/test_order_danger.json,true,.json,372,518a611c41b671844d83af0c71a5b934057d887fe0795dad2bc08f31a2e1acb0,hors branchement direct tant que CLOSE/ordre non décrété,aucun,exclu du branchement direct; risque ordre/exchange à isoler,LECTURE_STATE_OU_FIXTURE_SEULEMENT,false,false,,,,,,,,,,,
DEMO_BROKER,demo/broker/demobroker.py,true,.py,5585,ff9ee7f314e343922a3dfcd98df26b3e18629b0deb387aee7c935ec2b199cc36,broker démo isolé seulement,aucun hors contrat séparé,"pas de runtime automatique, pas d'exchange réel",EXCLURE_RISQUE_REEL_DIRECT,true,true,json;sys;uuid;datetime;pathlib,,now;load_json;write_json;mode_ok;reject;validate;execute;update_state;main,,,"L27:Path(path).write_text(json.dumps(data, ensure_ascii=False, indent=2) + ""\n"", encoding=""utf-8"") || L137:d.mkdir(parents=True, exist_ok=True) || L154:f.write(logline + ""\n"")","L45:def reject(order, reason): || L48:""order_id"": order.get(""order_id""), || L51:""symbol"": order.get(""symbol""), || L52:""side"": order.get(""side""), || L53:""quantity"": order.get(""quantity""), || L64:def validate(order): || L68:if order.get(""mode"") != ""MODE_DEMO_TOTAL"": || L70:if order.get(""real_finance_allowed"") is not False: || L73:if k in order: || L76:missing = [k for k in required if k not in order] || L79:if order.get(""prudence_status"") == ""BLOCKED"": || L81:if order.get(""side"") not in ALLOWED_SIDES: || L84:q = float(order.get(""quantity"")) || L85:p = float(order.get(""price_reference"")) || L92:def execute(order): || L93:side = order[""side""] || L94:qty = float(order[""quantity""]) || L95:price = float(order[""price_reference""]) || L100:""order_id"": order[""order_id""], || L103:""symbol"": order[""symbol""], || L109:""position_after_demo"": {""symbol"": order[""symbol""], ""side"": side, ""quantity"": qty}, || L116:def update_state(order, execution): || L122:""last_decision"": order.get(""reason""), || L123:""last_order"": order, || L133:print(""usage: demo/broker/demobroker.py demo/orders/order.json"", file=sys.stderr) || L140:order = load_json(order_path) || L142:archive_order = ORDERS / f""{order.get('order_id','NO_ORDER_ID')}.json"" || L143:write_json(archive_order, order) || L145:valid, reason = validate(order) || L146:execution = execute(order) if valid else reject(order, reason)","L18:FORBIDDEN_KEYS = {""api_key"", ""secret"", ""passphrase"", ""credential"", ""credentials"", ""exchange_target"", ""broker_real"", ""real_broker""}",,,
DEMO_BROKER,demo/broker/demobroker_runner.py,true,.py,3505,fc5cf72146ea02cf7e237f4ba179f705ad40247b690d3713e6797dd148408b41,broker démo isolé seulement,aucun hors contrat séparé,"pas de runtime automatique, pas d'exchange réel",EXCLURE_PROCESS_CRON_SYSTEMD_DIRECT,true,true,json;shutil;subprocess;sys;datetime;pathlib,,now;log;main,,"""\ndemobroker_runner.py — Poller aval minimal V0\nScanne demo/orders/validated/ et appelle demobroker.py pour chaque ordre.\nConforme à DECRET_A6 et CONTRAT_DEMOBROKER_V0.\n\nUsage","L47:LOGS.mkdir(parents=True, exist_ok=True) || L51:f.write(json.dumps(line, ensure_ascii=False) + ""\n"") || L60:d.mkdir(parents=True, exist_ok=True)",,,"L21:Phase  : PHASE 1 V_γ (création + tests, sans cron) || L26:import subprocess || L73:result = subprocess.run( || L96:except subprocess.TimeoutExpired:",,
DEMO_BROKER,demo/prudence/prudence_demo_runner.py,true,.py,7340,72f7301a478e9fc0fe97002e0cde8b3ffb8f35481ae3689996670f6d15402174,broker démo isolé seulement,aucun hors contrat séparé,"pas de runtime automatique, pas d'exchange réel",EXCLURE_RISQUE_REEL_DIRECT,true,true,__future__;json;subprocess;sys;datetime;pathlib,,utc_iso;log_event;tail;is_already_prudenced;main,is_already_prudenced,'\nSÉRAGONE — prudence_demo_runner.py\n===================================\nA7 V2 — Runner subprocess pour prudence_demo.py.\n\nSpec       : DECRET_A7 §5 (sha256 543dcb9b20c82b8f…),"L76:LOGS_DIR.mkdir(parents=True, exist_ok=True) || L79:f.write(json.dumps(rec, ensure_ascii=False) + ""\n"") || L113:ORDERS_DIR.mkdir(parents=True, exist_ok=True)","L131:order=order_path.name, || L136:order=order_path.name) || L139:order=order_path.name, error=str(e)) || L151:order=order_path.name, || L157:order=order_path.name, || L161:order=order_path.name, error=str(e)) || L167:log_event(""ORPHAN_UNLINKED"", order=order_path.name) || L170:order=order_path.name, error=str(e))",,"L6:A7 V2 — Runner subprocess pour prudence_demo.py. || L13:Phase      : 2 (cron PHASE 2 activable post-fix) || L19:En cron PHASE 2, prudence_demo_runner ramassait || L22:Fix V2 : Avant subprocess, lire le JSON. Si prudence_checked == True || L34:- subprocess.run([python3, prudence_demo.py, path], timeout=30) || L36:- si le fichier source reste après le subprocess (anomalie) : || L42:(rôle exclusif de prudence_demo.py invoqué en subprocess) || L52:import subprocess || L68:SUBPROCESS_TIMEOUT_S = 30 || L123:# §5.2.5 — boucle subprocess || L145:res = subprocess.run( || L148:timeout=SUBPROCESS_TIMEOUT_S, || L155:except subprocess.TimeoutExpired: || L158:timeout_s=SUBPROCESS_TIMEOUT_S)",,
